ref_id,ref_id_str,machine_name,piezas_hora_teorico
563404,563404,Granalladora Sthick,88.38
902081,902081,Granalladora Sthick,33.92
904802,904802,Granalladora Sthick,208.81
913600,913600,Granalladora Sthick,83.31
918506,918506,Granalladora Sthick,90.07
918801,918801,Granalladora Sthick,122.37
000305,000305,Horno,180.73
011900,011900,Horno,100.12
012301,012301,Horno,7.38
042421,042421,Horno,28.14
081000,081000,Horno,42.46
081906,081906,Horno,29.35
081GJ1,081GJ1,Horno,8.29
100346,100346,Horno,244.07
124203,124203,Horno,22.54
190301,190301,Horno,27.2
190900,190900,Horno,7.83
473205,473205,Horno,131.04
480454,480454,Horno,132.54
500460,500460,Horno,7.5
503140,503140,Horno,154.54
510086,510086,Horno,184.43
603475,603475,Horno,190.11
613839,613839,Horno,13.64
902081,902081,Horno,5.61
936105,936105,Horno,160.0
936205,936205,Horno,118.82
936305,936305,Horno,146.11
003304,003304,Horno Arrola,23.7
003800,003800,Horno Arrola,67.25
008091,008091,Horno Arrola,190.76
031100,031100,Horno Arrola,37.01
031275,031275,Horno Arrola,44.98
081000,081000,Horno Arrola,49.66
081103,081103,Horno Arrola,5.89
081147,081147,Horno Arrola,32.59
081216,081216,Horno Arrola,49.69
081290,081290,Horno Arrola,56.35
081302,081302,Horno Arrola,62.16
081303,081303,Horno Arrola,38.78
081602,081602,Horno Arrola,198.91
081803,081803,Horno Arrola,58.57
081806,081806,Horno Arrola,23.13
081901,081901,Horno Arrola,55.78
081906,081906,Horno Arrola,95.6
081910,081910,Horno Arrola,184.7
081GJ1,081GJ1,Horno Arrola,128.39
086503,086503,Horno Arrola,35.32
091177,091177,Horno Arrola,31.11
091232,091232,Horno Arrola,48.43
118506,118506,Horno Arrola,5.95
124203,124203,Horno Arrola,110.23
552012,552012,Horno Arrola,160.47
563404,563404,Horno Arrola,88.3
902081,902081,Horno Arrola,33.85
904802,904802,Horno Arrola,208.23
913600,913600,Horno Arrola,264.52
918506,918506,Horno Arrola,104.56
918801,918801,Horno Arrola,122.17
31100.0,31100.0,Linea 2 Luk Entradas,97.11
124203.0,124203.0,Linea Luk 1,54.44
563404.0,563404.0,Linea Luk 2,76.32
81901.0,81901.0,Linea Luk 2,53.2
81906.0,81906.0,Linea Luk 2,52.11
3304.0,3304.0,Linea Luk 3,76.75
81000.0,81000.0,Linea Luk 3,84.74
81290.0,81290.0,Linea Luk 3,86.23
81602.0,81602.0,Linea Luk 3,74.5
81803.0,81803.0,Linea Luk 3,71.08
31100.0,31100.0,Linea Luk 4,82.27
81147.0,81147.0,Linea Luk 4,29.75
81303.0,81303.0,Linea Luk 4,5.71
86503.0,86503.0,Linea Luk 4,40.34
124203.0,124203.0,Linea SACHS,122.7
81901.0,81901.0,Linea SACHS,120.4
81216.0,81216.0,Linea Volkswagen,184.92
918506.0,918506.0,Linea Volkswagen,115.8
118506.0,118506.0,Linea Volkswagen 2,76.9
552012.0,552012.0,Linea Volkswagen 2,90.6
81303.0,81303.0,Linea Volkswagen 2,89.23
918801.0,918801.0,Linea Volkswagen 2,83.61
000305,000305,PRENSA,96.18
008011,008011,PRENSA,67.31
008091,008091,PRENSA,182.45
011900,011900,PRENSA,165.12
012301,012301,PRENSA,76.51
028811,028811,PRENSA,59.91
042421,042421,PRENSA,91.4
081000,081000,PRENSA,137.31
081505,081505,PRENSA,224.29
081602,081602,PRENSA,126.84
081806,081806,PRENSA,193.09
081901,081901,PRENSA,176.39
081902,081902,PRENSA,165.88
081906,081906,PRENSA,170.67
081910,081910,PRENSA,115.35
081GJ1,081GJ1,PRENSA,144.02
102902,102902,PRENSA,136.39
114282,114282,PRENSA,177.47
124203,124203,PRENSA,128.12
190301,190301,PRENSA,190.52
190900,190900,PRENSA,209.33
429804,429804,PRENSA,188.15
473205,473205,PRENSA,91.18
510086,510086,PRENSA,138.07
563404,563404,PRENSA,153.96
603475,603475,PRENSA,120.0
613802,613802,PRENSA,153.91
700748,700748,PRENSA,155.59
902081,902081,PRENSA,144.18
904802,904802,PRENSA,148.61
81803.0,81803.0,Prensa Gamei PHG 400-50,173.07
91135.0,91135.0,Prensa Gamei PHG 400-50,271.66
008091,008091,Prensa27,210.22
081302,081302,Prensa27,223.75
081404,081404,Prensa27,230.79
081806,081806,Prensa27,235.8
081910,081910,Prensa27,251.56
091501,091501,Prensa27,298.3
091503,091503,Prensa27,232.69
124203,124203,Prensa27,189.24
563404,563404,Prensa27,223.74
118506.0,118506.0,Prensa518,31.26
31100.0,31100.0,Prensa518,76.45
31275.0,31275.0,Prensa518,127.54
3304.0,3304.0,Prensa518,30.68
3800.0,3800.0,Prensa518,258.41
552012.0,552012.0,Prensa518,39.63
6700.0,6700.0,Prensa518,244.38
81103.0,81103.0,Prensa518,46.94
81147.0,81147.0,Prensa518,153.72
81290.0,81290.0,Prensa518,140.65
81303.0,81303.0,Prensa518,26.18
86503.0,86503.0,Prensa518,137.4
91177.0,91177.0,Prensa518,109.59
91232.0,91232.0,Prensa518,19.35
913600.0,913600.0,Prensa518,37.19
918506.0,918506.0,Prensa518,110.97
918801.0,918801.0,Prensa518,285.96
480454.0,480454.0,Prensa95-1,136.05
503140.0,503140.0,Prensa95-1,154.86
936105.0,936105.0,Prensa95-1,162.16
936205.0,936205.0,Prensa95-1,133.92
936305.0,936305.0,Prensa95-1,140.29
81803.0,81803.0,Robot145 entrada diente,26.67
902081.0,902081.0,Robot145 entrada diente,24.43
81803.0,81803.0,Robot148 entrada diente,24.05
902081.0,902081.0,Robot148 entrada diente,25.99
190301.0,190301.0,Robot149 entrada 2 cabezal,29.33
28811.0,28811.0,Robot149 entrada 2 cabezal,26.68
49390.0,49390.0,Robot149 entrada 2 cabezal,34.02
563404.0,563404.0,Robot149 entrada 2 cabezal,36.2
81290.0,81290.0,Robot149 entrada 2 cabezal,43.2
81803.0,81803.0,Robot149 entrada 2 cabezal,40.9
902081.0,902081.0,Robot149 entrada 2 cabezal,48.32
9400.0,9400.0,Robot149 entrada 2 cabezal,43.82
563404.0,563404.0,Robot160 entradas 2 cabezal,146.98
81290.0,81290.0,Robot160 entradas 2 cabezal,192.11
81803.0,81803.0,Robot160 entradas 2 cabezal,196.29
003304,003304,SOLDADORA,164.75
003800,003800,SOLDADORA,124.61
008091,008091,SOLDADORA,160.09
031100,031100,SOLDADORA,171.35
081103,081103,SOLDADORA,176.86
081147,081147,SOLDADORA,173.41
081216,081216,SOLDADORA,156.17
081290,081290,SOLDADORA,151.19
081303,081303,SOLDADORA,151.05
081602,081602,SOLDADORA,180.93
081803,081803,SOLDADORA,178.42
081806,081806,SOLDADORA,172.07
081901,081901,SOLDADORA,158.7
081906,081906,SOLDADORA,168.92
081910,081910,SOLDADORA,129.55
081GJ1,081GJ1,SOLDADORA,168.34
086503,086503,SOLDADORA,159.83
091135,091135,SOLDADORA,193.02
091177,091177,SOLDADORA,160.03
091232,091232,SOLDADORA,158.64
091503,091503,SOLDADORA,176.63
091700,091700,SOLDADORA,171.67
118506.0,118506.0,SOLDADORA,194.9
121105,121105,SOLDADORA,10.0
124203,124203,SOLDADORA,131.82
124203.0,124203.0,SOLDADORA,156.38
190301,190301,SOLDADORA,120.0
31100.0,31100.0,SOLDADORA,155.25
3304.0,3304.0,SOLDADORA,179.75
3800.0,3800.0,SOLDADORA,179.64
429804,429804,SOLDADORA,127.39
552012.0,552012.0,SOLDADORA,193.46
563404,563404,SOLDADORA,163.41
8011.0,8011.0,SOLDADORA,181.5
8091.0,8091.0,SOLDADORA,146.36
81000.0,81000.0,SOLDADORA,132.27
81103.0,81103.0,SOLDADORA,167.86
81147.0,81147.0,SOLDADORA,162.34
81216.0,81216.0,SOLDADORA,157.35
81290.0,81290.0,SOLDADORA,192.42
81303.0,81303.0,SOLDADORA,132.98
81602.0,81602.0,SOLDADORA,185.74
81803.0,81803.0,SOLDADORA,110.55
81806.0,81806.0,SOLDADORA,178.27
81901.0,81901.0,SOLDADORA,149.88
81902.0,81902.0,SOLDADORA,185.33
81906.0,81906.0,SOLDADORA,166.21
86503.0,86503.0,SOLDADORA,182.73
902081,902081,SOLDADORA,129.27
904802,904802,SOLDADORA,171.91
904802.0,904802.0,SOLDADORA,156.61
91135.0,91135.0,SOLDADORA,187.22
91177.0,91177.0,SOLDADORA,137.65
91232.0,91232.0,SOLDADORA,139.63
913600,913600,SOLDADORA,174.9
91503.0,91503.0,SOLDADORA,176.21
918506.0,918506.0,SOLDADORA,172.47
918801.0,918801.0,SOLDADORA,157.5
94900.0,94900.0,SOLDADORA,167.72
102902.0,102902.0,Sierra116,92.09
704389.0,704389.0,Sierra116,5.5
92901.0,92901.0,Sierra116,70.32
0405.0,0405.0,Soldadora Ideal DD0101,167.44
190301.0,190301.0,Soldadora Ideal DD0101,1.26
429804.0,429804.0,Soldadora Ideal DD0101,38.71
49390.0,49390.0,Soldadora Ideal DD0101,3.49
81000.0,81000.0,Soldadora Ideal DD0101,34.23
91501.0,91501.0,Soldadora Ideal DD0101,74.02
0305.0,0305.0,Soldadora107,73.23
102902.0,102902.0,Soldadora107,89.12
28811.0,28811.0,Soldadora107,87.29
473205.0,473205.0,Soldadora107,70.46
480454.0,480454.0,Soldadora107,87.26
500460.0,500460.0,Soldadora107,96.79
503140.0,503140.0,Soldadora107,84.32
510086.0,510086.0,Soldadora107,95.36
603475.0,603475.0,Soldadora107,77.92
613839.0,613839.0,Soldadora107,61.73
704388.0,704388.0,Soldadora107,90.4
704389.0,704389.0,Soldadora107,96.54
92901.0,92901.0,Soldadora107,69.61
936105.0,936105.0,Soldadora107,70.6
936205.0,936205.0,Soldadora107,76.35
936305.0,936305.0,Soldadora107,75.5
0305.0,0305.0,Soldadora108,80.22
100346.0,100346.0,Soldadora108,62.95
473205.0,473205.0,Soldadora108,81.17
510086.0,510086.0,Soldadora108,81.2
603475.0,603475.0,Soldadora108,69.19
613802.0,613802.0,Soldadora108,75.48
613804.0,613804.0,Soldadora108,49.25
613839.0,613839.0,Soldadora108,51.43
92901.0,92901.0,Soldadora108,82.78
936205.0,936205.0,Soldadora108,74.62
936305.0,936305.0,Soldadora108,76.66
124203.0,124203.0,TALLADORA 238 PHAUTER,38.61
003800,003800,Talladora CNC 48,1.24
081290,081290,Talladora CNC 48,18.39
081404,081404,Talladora CNC 48,134.1
081806,081806,Talladora CNC 48,112.56
081901,081901,Talladora CNC 48,300.0
081906,081906,Talladora CNC 48,246.32
081GJ1,081GJ1,Talladora CNC 48,195.87
091177,091177,Talladora CNC 48,176.29
818500,818500,Talladora CNC 48,46.45
902081,902081,Talladora CNC 48,169.85
918506,918506,Talladora CNC 48,242.55
31100.0,31100.0,Talladora Liebher 265,54.25
81147.0,81147.0,Talladora Liebher 265,55.33
81303.0,81303.0,Talladora Liebher 265,56.14
86503.0,86503.0,Talladora Liebher 265,61.62
124203.0,124203.0,Talladora OMR,46.65
563404.0,563404.0,Talladora OMR,92.98
81103.0,81103.0,Talladora OMR,84.84
118506.0,118506.0,Talladora Phauter,73.36
31100.0,31100.0,Talladora Phauter,57.5
81147.0,81147.0,Talladora Phauter,54.42
81303.0,81303.0,Talladora Phauter,71.39
86503.0,86503.0,Talladora Phauter,59.42
118506.0,118506.0,Talladora Phauter P630,71.39
31100.0,31100.0,Talladora Phauter P630,54.28
552012.0,552012.0,Talladora Phauter P630,79.64
81000.0,81000.0,Talladora Phauter P630,56.18
81147.0,81147.0,Talladora Phauter P630,56.33
81290.0,81290.0,Talladora Phauter P630,55.17
81303.0,81303.0,Talladora Phauter P630,67.67
86503.0,86503.0,Talladora Phauter P630,56.32
918801.0,918801.0,Talladora Phauter P630,71.98
118302.0,118302.0,Talladora150,29.83
124203.0,124203.0,Talladora150,38.76
31275.0,31275.0,Talladora150,42.79
3304.0,3304.0,Talladora150,53.95
3800.0,3800.0,Talladora150,62.85
394205.0,394205.0,Talladora150,44.74
8011.0,8011.0,Talladora150,37.48
81000.0,81000.0,Talladora150,39.88
81103.0,81103.0,Talladora150,51.57
81290.0,81290.0,Talladora150,49.22
81602.0,81602.0,Talladora150,33.18
81803.0,81803.0,Talladora150,47.23
81901.0,81901.0,Talladora150,2.28
81910.0,81910.0,Talladora150,37.39
904802.0,904802.0,Talladora150,35.1
91503.0,91503.0,Talladora150,62.59
918506.0,918506.0,Talladora150,65.02
700748.0,700748.0,Talladora151,83.19
81901.0,81901.0,Talladora151,28.92
81902.0,81902.0,Talladora151,27.12
81906.0,81906.0,Talladora151,33.9
81910.0,81910.0,Talladora151,42.79
190301.0,190301.0,Talladora197,32.81
28811.0,28811.0,Talladora197,23.73
480454.0,480454.0,Talladora197,16.17
49390.0,49390.0,Talladora197,23.05
503140.0,503140.0,Talladora197,18.61
936305.0,936305.0,Talladora197,20.2
10002.0,10002.0,Talladora21 LUK3,54.74
109800.0,109800.0,Talladora21 LUK3,76.25
8011.0,8011.0,Talladora21 LUK3,53.3
81000.0,81000.0,Talladora21 LUK3,49.06
81290.0,81290.0,Talladora21 LUK3,59.08
81602.0,81602.0,Talladora21 LUK3,49.68
81803.0,81803.0,Talladora21 LUK3,60.22
