material_lot_id,laminado_id,ref_materia,qty_recibida,udm,peso_bruto,uds,fecha_recepcion_ts
LOTE-20250529-091503,"A/3065 15X9,1",091503,5474.0,kg,1.04,5200.0,2025-05-29T00:00:00
LOTE-20250529-081216,"A/3072 16,5X13,1",081216,8110.0,kg,1.52,5300.0,2025-05-29T00:00:00
LOTE-20250529-918506118510-06,"A/3112 13X10,1",918506/118510-06,5681.0,kg,0.93,6100.0,2025-05-29T00:00:00
LOTE-20250529-124203,"A/3585 16,8X16,8",124203,9226.0,kg,2.04,4500.0,2025-05-29T00:00:00
LOTE-20250529-114282,"A/4011 14X10,4",114282,5663.0,kg,1.36,4100.0,2025-05-29T00:00:00
LOTE-20250529-031100,"A/4235 14,7X(11,4/10,8)",031100,15153.0,kg,1.19,12700.0,2025-05-29T00:00:00
LOTE-20250602-124203,"A/3585 16,8X16,8",124203,9608.0,kg,2.04,4700.0,2025-06-02T00:00:00
LOTE-20250602-081803,"A/4050 13X(11,3X10,7)",081803,5335.0,kg,1.04,5100.0,2025-06-02T00:00:00
LOTE-20250602-902081,"A/4108 19,15X13,25",902081,8369.0,kg,1.87,4400.0,2025-06-02T00:00:00
LOTE-20250605-918506118506,"A/3112 13X10,1",918506/118506,4356.0,kg,0.97,4400.0,2025-06-05T00:00:00
LOTE-20250605-086503,"A/3170 17X(11,7/12,4)",086503,10017.0,kg,1.48,6700.0,2025-06-05T00:00:00
LOTE-20250605-031100,"A/4235 14,7X(11,4/10,8)",031100,10525.0,kg,1.19,8800.0,2025-06-05T00:00:00
LOTE-20250606-031275,"A/3048 12,1X12,1",031275,10259.0,kg,1.0,10000.0,2025-06-06T00:00:00
LOTE-20250606-081303,"A/4032 13,6X9,6",081303,9696.0,kg,1.05,9300.0,2025-06-06T00:00:00
LOTE-20250606-081103081505,"A/4047 13X11,1",081103/081505,4591.0,kg,0.9,5100.0,2025-06-06T00:00:00
LOTE-20250609-03304911100,"A/3063 14,8X10,1",03304/911100,5345.0,kg,1.09,4900.0,2025-06-09T00:00:00
LOTE-20250609-081216,"A/3072 16,5X13,10",081216,2579.0,kg,1.52,1600.0,2025-06-09T00:00:00
LOTE-20250609-091232,"A/3074 16,8X9,6",091232,5602.0,kg,1.19,4700.0,2025-06-09T00:00:00
LOTE-20250609-124203,"A/3585 16,8X16,8",124203,19065.0,kg,2.04,9300.0,2025-06-09T00:00:00
LOTE-20250609-552012,"A/4071 13,19,1",552012,6704.0,kg,0.77,8700.0,2025-06-09T00:00:00
LOTE-20250609-563404,"A/4074 17X(8,4/9,1)",563404,4502.0,kg,1.05,4200.0,2025-06-09T00:00:00
LOTE-20250609-902081,"A/4108 19,15X13,25",902081,5403.0,kg,1.87,2800.0,2025-06-09T00:00:00
LOTE-20250609-0305473205,"A/4488 29,5X(20,75/19,55)",0305/473205,24199.0,kg,7.29,3300.0,2025-06-09T00:00:00
LOTE-20250611-081216,"A/3072 16,5X13,10",081216,2707.0,kg,1.52,1700.0,2025-06-11T00:00:00
LOTE-20250611-913600,"A/3484 15,5X9,1",913600,5122.0,kg,1.08,4700.0,2025-06-11T00:00:00
LOTE-20250611-03800,"A/3526 17,5X7,9",03800,5063.0,kg,1.0,5000.0,2025-06-11T00:00:00
LOTE-20250611-190900,"A/4014 14,25X14,25",190900,5553.0,kg,1.94,2800.0,2025-06-11T00:00:00
LOTE-20250611-081GJ1081290,"A/4426 16,4X10,1",081GJ1/081290,5418.0,kg,1.19,4500.0,2025-06-11T00:00:00
LOTE-20250612-918506118506,"A/3112 13X10,1",918506/118506,5696.0,kg,0.97,5800.0,2025-06-12T00:00:00
LOTE-20250612-086503,"A/3170 17X(11,7/12,4)",086503,5375.0,kg,1.48,3600.0,2025-06-12T00:00:00
LOTE-20250612-031100,"A/4235 14,7X(11,4/10,8)",031100,13990.0,kg,1.19,11700.0,2025-06-12T00:00:00
LOTE-20250613-028811,"A/4066 17X14,4",028811,5248.0,kg,2.55,2000.0,2025-06-13T00:00:00
LOTE-20250613-563404,"A/4074 17X(8,4/9,1)",563404,13613.0,kg,1.05,12900.0,2025-06-13T00:00:00
LOTE-20250613-081GJ1081290,"A/4426 16,4X10,1",081GJ1/081290,5430.0,kg,1.19,4500.0,2025-06-13T00:00:00
LOTE-20250616-603475,"A/1153 34X(22,17/20,83)",603475,4788.0,kg,7.7,640.0,2025-06-16T00:00:00
LOTE-20250616-086503,"A/3170 17X(11,7/12,4)",086503,2501.0,kg,1.48,1600.0,2025-06-16T00:00:00
