machine_id,machine_name,ts_cambio,piezas_hasta_cambio,scrap_hasta_cambio,duracion_cambio_min,ops_hasta_cambio
40,Talladora40 LUK1,2025-03-24 17:19:00,1344.0,6.0,42.0,13.0
40,Talladora40 LUK1,2025-03-26 07:24:00,1272.0,3.0,100.0,13.0
40,Talladora40 LUK1,2025-04-08 17:19:00,1315.0,35.0,92.0,19.0
40,Talladora40 LUK1,2025-04-08 19:40:00,0.0,0.0,39.0,1.0
40,Talladora40 LUK1,2025-04-08 21:09:00,0.0,0.0,25.0,1.0
40,Talladora40 LUK1,2025-04-09 11:27:00,489.0,6.0,51.0,4.0
40,Talladora40 LUK1,2025-04-09 14:56:00,24.0,6.0,99.0,3.0
40,Talladora40 LUK1,2025-04-14 19:04:00,898.0,17.0,21.0,8.0
40,Talladora40 LUK1,2025-04-22 04:04:00,607.0,23.0,55.0,6.0
40,Talladora40 LUK1,2025-04-25 09:53:00,373.0,32.0,5.0,4.0
40,Talladora40 LUK1,2025-04-29 15:23:00,675.0,0.0,71.0,6.0
40,Talladora40 LUK1,2025-07-04 16:16:00,852.0,17.0,67.0,7.0
44,Talladora44 LUK2,2025-01-24 08:50:00,3962.0,91.0,1.0,40.0
44,Talladora44 LUK2,2025-02-10 18:25:00,3804.0,86.0,30.0,47.0
44,Talladora44 LUK2,2025-02-18 04:31:00,2474.0,36.0,37.0,36.0
44,Talladora44 LUK2,2025-02-25 02:10:00,2526.0,20.0,2.0,31.0
44,Talladora44 LUK2,2025-02-27 11:13:00,1530.0,17.0,36.0,14.0
44,Talladora44 LUK2,2025-03-17 10:15:00,3446.0,55.0,1.0,35.0
44,Talladora44 LUK2,2025-03-17 10:35:00,0.0,0.0,32.0,1.0
44,Talladora44 LUK2,2025-03-27 16:28:00,2708.0,34.0,6.0,37.0
44,Talladora44 LUK2,2025-04-02 04:12:00,2485.0,17.0,2.0,22.0
44,Talladora44 LUK2,2025-04-02 04:31:00,0.0,0.0,30.0,1.0
44,Talladora44 LUK2,2025-04-04 07:29:00,1090.0,0.0,7.0,33.0
44,Talladora44 LUK2,2025-04-04 07:37:00,0.0,0.0,24.0,1.0
44,Talladora44 LUK2,2025-04-08 00:46:00,826.0,0.0,21.0,18.0
44,Talladora44 LUK2,2025-04-10 00:08:00,1373.0,33.0,55.0,22.0
44,Talladora44 LUK2,2025-04-14 16:38:00,1444.0,35.0,37.0,8.0
44,Talladora44 LUK2,2025-04-30 10:43:00,5257.0,152.0,34.0,45.0
44,Talladora44 LUK2,2025-05-06 23:01:00,1616.0,0.0,37.0,13.0
44,Talladora44 LUK2,2025-05-20 08:32:00,5168.0,58.0,45.0,56.0
44,Talladora44 LUK2,2025-05-20 10:38:00,0.0,0.0,20.0,1.0
44,Talladora44 LUK2,2025-05-26 14:36:00,2474.0,34.0,11.0,23.0
44,Talladora44 LUK2,2025-06-02 10:18:00,3685.0,39.0,14.0,37.0
44,Talladora44 LUK2,2025-06-05 11:35:00,2594.0,2.0,7.0,21.0
44,Talladora44 LUK2,2025-06-05 12:01:00,0.0,0.0,29.0,1.0
44,Talladora44 LUK2,2025-06-10 00:51:00,1769.0,16.0,5.0,20.0
44,Talladora44 LUK2,2025-06-12 14:15:00,1699.0,1.0,25.0,17.0
44,Talladora44 LUK2,2025-06-17 09:57:00,1801.0,1.0,45.0,16.0
44,Talladora44 LUK2,2025-06-23 08:15:00,3934.0,44.0,20.0,26.0
44,Talladora44 LUK2,2025-06-25 04:30:00,2552.0,0.0,41.0,9.0
44,Talladora44 LUK2,2025-06-27 08:28:00,3679.0,4.0,23.0,13.0
44,Talladora44 LUK2,2025-07-01 22:58:00,3944.0,29.0,2.0,10.0
44,Talladora44 LUK2,2025-07-04 06:32:00,3010.0,6.0,21.0,11.0
44,Talladora44 LUK2,2025-07-04 06:53:00,0.0,0.0,130.0,1.0
44,Talladora44 LUK2,2025-07-15 09:54:00,2957.0,5.0,20.0,23.0
44,Talladora44 LUK2,2025-07-16 06:19:00,493.0,17.0,9.0,4.0
44,Talladora44 LUK2,2025-07-18 12:07:00,1190.0,0.0,1.0,8.0
44,Talladora44 LUK2,2025-07-18 12:27:00,0.0,0.0,0.0,1.0
44,Talladora44 LUK2,2025-07-18 12:27:00,0.0,0.0,21.0,1.0
44,Talladora44 LUK2,2025-08-05 09:33:00,1598.0,17.0,8.0,11.0
44,Talladora44 LUK2,2025-08-07 05:16:00,1037.0,0.0,22.0,5.0
44,Talladora44 LUK2,2025-08-22 09:59:00,2213.0,14.0,5.0,14.0
44,Talladora44 LUK2,2025-08-22 10:24:00,0.0,0.0,59.0,1.0
44,Talladora44 LUK2,2025-08-29 02:50:00,2116.0,43.0,2.0,24.0
44,Talladora44 LUK2,2025-08-29 03:09:00,0.0,0.0,53.0,1.0
44,Talladora44 LUK2,2025-09-01 04:24:00,544.0,0.0,79.0,6.0
47,Talladora47,2025-01-10 14:17:00,1324.0,53.0,36.0,8.0
47,Talladora47,2025-01-14 11:14:00,2132.0,1.0,47.0,17.0
47,Talladora47,2025-03-10 22:01:00,3861.0,27.0,44.0,21.0
47,Talladora47,2025-03-10 23:56:00,0.0,0.0,35.0,1.0
47,Talladora47,2025-03-14 03:03:00,2754.0,0.0,18.0,12.0
47,Talladora47,2025-03-17 23:44:00,2075.0,4.0,36.0,8.0
47,Talladora47,2025-03-19 01:15:00,1345.0,5.0,28.0,8.0
47,Talladora47,2025-04-23 00:23:00,5928.0,21.0,15.0,37.0
47,Talladora47,2025-04-29 09:37:00,2157.0,3.0,35.0,15.0
47,Talladora47,2025-05-05 23:05:00,3017.0,7.0,43.0,17.0
47,Talladora47,2025-05-14 15:16:00,5433.0,3.0,33.0,34.0
47,Talladora47,2025-06-13 16:36:00,2786.0,7.0,53.0,21.0
47,Talladora47,2025-06-23 17:45:00,4847.0,13.0,47.0,20.0
47,Talladora47,2025-08-31 22:02:00,7477.0,65.0,46.0,53.0
48,Talladora CNC 48,2025-01-22 05:31:00,123785.0,145.0,24.0,106.0
