work_order_id,ref_id_str,cantidad_lanzada,cantidad_final_ok,scrap_total,tiempo_total_min,primera_fase_ts,ultima_fase_ts,y_fabricacion_min,incidencias_duracion_total,scrap_rate,yield_ok,fabricacion_dias,incidencias_horas,duracion_min_por_ud,ops_count,ops_unique,duracion_ops_min,scrap_ops_total,op,dur_min_aplanado,dur_min_calibrado,dur_min_calibrar_fri,dur_min_curvado_cort,dur_min_curvar_corta,dur_min_entrada_de_d,dur_min_granallado,dur_min_normalizado,dur_min_rectificado,dur_min_sacar_entrad,dur_min_soldadura_re,dur_min_soldar_rebab,dur_min_tallado,dur_min_tallar,dur_min_templar_por,dur_min_temple_reven,dur_min_torneado,dur_min_aplanado_por_ud,dur_min_calibrado_por_ud,dur_min_calibrar_fri_por_ud,dur_min_curvado_cort_por_ud,dur_min_curvar_corta_por_ud,dur_min_entrada_de_d_por_ud,dur_min_granallado_por_ud,dur_min_normalizado_por_ud,dur_min_rectificado_por_ud,dur_min_sacar_entrad_por_ud,dur_min_soldadura_re_por_ud,dur_min_soldar_rebab_por_ud,dur_min_tallado_por_ud,dur_min_tallar_por_ud,dur_min_templar_por_por_ud,dur_min_temple_reven_por_ud,dur_min_torneado_por_ud,scrap_aplanado,scrap_calibrado,scrap_calibrar_fri,scrap_curvado_cort,scrap_curvar_corta,scrap_entrada_de_d,scrap_granallado,scrap_normalizado,scrap_rectificado,scrap_sacar_entrad,scrap_soldadura_re,scrap_soldar_rebab,scrap_tallado,scrap_tallar,scrap_templar_por,scrap_temple_reven,scrap_torneado
25/0320,031100,6000,5931,69,18578,2025-06-16 23:48:00,2025-06-30 05:55:00,19087,1454,0.0115,0.9885,13.254861111111111,24.233333333333334,3.1811666666666665,8,8,18578.0,69.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > RECTIFICADO,,481.0,,790.0,,3789.0,652.0,653.0,3679.0,,2473.0,,6061.0,,,,,,0.08016666666666666,,0.13166666666666665,,0.6315,0.10866666666666666,0.10883333333333334,0.6131666666666666,,0.4121666666666667,,1.0101666666666667,,,,,,0.0,,7.0,,0.0,0.0,0.0,21.0,,18.0,,23.0,,,,
25/0323,081290,4488,4445,43,21055,2025-06-13 17:25:00,2025-07-03 22:00:00,29075,3451,0.009581105169340463,0.9904188948306596,20.19097222222222,57.516666666666666,6.478386809269162,8,8,21055.0,43.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > RECTIFICADO,,657.0,,677.0,,7678.0,505.0,504.0,3947.0,,1597.0,,5490.0,,,,,,0.1463903743315508,,0.15084670231729055,,1.7107843137254901,0.1125222816399287,0.11229946524064172,0.8794563279857398,,0.35583778966131907,,1.2232620320855614,,,,,,0.0,,0.0,,16.0,0.0,0.0,10.0,,12.0,,5.0,,,,
25/0335,081216,3452,3418,34,10504,2025-06-19 14:23:00,2025-07-01 11:41:00,17118,1386,0.009849362688296639,0.9901506373117034,11.8875,23.1,4.958864426419467,4,4,10504.0,34.0,CURVADO-CORT > SOLDADURA-RE > TALLADO > RECTIFICADO,,,,540.0,,,,,3159.0,,1919.0,,4886.0,,,,,,,,0.1564310544611819,,,,,0.9151216685979142,,0.555909617612978,,1.4154113557358052,,,,,,,,0.0,,,,,14.0,,3.0,,17.0,,,,
25/0748,081906,5000,4960,40,19663,2025-05-19 13:20:00,2025-06-16 23:10:00,40910,2889,0.008,0.992,28.40972222222222,48.15,8.182,7,7,19663.0,40.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > RECTIFICADO,,1904.0,,688.0,,,568.0,429.0,6316.0,,1946.0,,7812.0,,,,,,0.3808,,0.1376,,,0.1136,0.0858,1.2632,,0.3892,,1.5624,,,,,,0.0,,8.0,,,0.0,0.0,18.0,,13.0,,1.0,,,,
25/0749,124203,8446,8223,223,31622,2025-05-16 13:56:00,2025-06-24 11:21:00,56005,5140,0.02640303102060147,0.9735969689793985,38.892361111111114,85.66666666666667,6.630949561922804,7,7,31622.0,223.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > RECTIFICADO,,2644.0,,1578.0,,,1304.0,1303.0,7097.0,,3065.0,,14631.0,,,,,,0.31304759649538244,,0.18683400426237273,,,0.15439261188728393,0.15427421264503907,0.8402794222116978,,0.36289367748046414,,1.732299313284395,,,,,,0.0,,0.0,,,0.0,0.0,84.0,,7.0,,132.0,,,,
25/0750,124203,3624,3542,82,13133,2025-05-20 13:56:00,2025-07-03 07:16:00,62960,2136,0.02262693156732892,0.9773730684326711,43.72222222222222,35.6,17.373068432671083,7,7,13133.0,82.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > RECTIFICADO,,1174.0,,769.0,,,405.0,368.0,4150.0,,1316.0,,4951.0,,,,,,0.3239514348785872,,0.21219646799116998,,,0.11175496688741722,0.10154525386313466,1.1451434878587197,,0.3631346578366446,,1.3661699779249448,,,,,,3.0,,0.0,,,0.0,0.0,63.0,,3.0,,13.0,,,,
25/0751,081GJ1,2500,2441,59,7758,2025-05-20 19:01:00,2025-06-03 20:11:00,20230,1207,0.0236,0.9764,14.04861111111111,20.116666666666667,8.092,8,8,7758.0,59.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > TEMPLE-REVEN > RECTIFICADO,,888.0,,346.0,,,246.0,181.0,1574.0,,922.0,,2017.0,,,1584.0,,,0.3552,,0.1384,,,0.0984,0.0724,0.6296,,0.3688,,0.8068,,,0.6336,,,0.0,,0.0,,,0.0,0.0,1.0,,11.0,,31.0,,,16.0,
25/0755,086503,7190,7128,62,22304,2025-05-21 13:54:00,2025-05-30 00:41:00,12167,3322,0.008623087621696801,0.9913769123783032,8.449305555555556,55.36666666666667,1.69221140472879,7,7,22304.0,62.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > RECTIFICADO,,1008.0,,1179.0,,,1136.0,1137.0,5614.0,,3594.0,,8636.0,,,,,,0.14019471488178026,,0.1639777468706537,,,0.1579972183588317,0.15813630041724616,0.7808066759388039,,0.49986091794158555,,1.2011126564673158,,,,,,0.0,,2.0,,,0.0,0.0,42.0,,15.0,,3.0,,,,
25/1012,081910,1435,1415,20,8117,2025-01-24 16:01:00,2025-02-24 13:56:00,44515,1245,0.013937282229965157,0.9860627177700348,30.913194444444443,20.75,31.020905923344948,8,8,8117.0,20.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > TEMPLE-REVEN > RECTIFICADO,,340.0,,350.0,,,212.0,213.0,2589.0,,664.0,,2934.0,,,815.0,,,0.23693379790940766,,0.24390243902439024,,,0.14773519163763066,0.14843205574912893,1.8041811846689895,,0.4627177700348432,,2.0445993031358887,,,0.5679442508710801,,,0.0,,0.0,,,0.0,0.0,0.0,,6.0,,12.0,,,2.0,
25/1013,081910,1435,1408,27,7311,2025-01-27 01:21:00,2025-03-07 05:17:00,56396,926,0.018815331010452963,0.981184668989547,39.16388888888889,15.433333333333334,39.30034843205575,8,8,7311.0,27.0,CURVADO-CORT > SOLDADURA-RE > GRANALLADO > NORMALIZADO > CALIBRADO > TALLADO > TEMPLE-REVEN > RECTIFICADO,,303.0,,273.0,,,240.0,240.0,3301.0,,631.0,,1501.0,,,822.0,,,0.21114982578397212,,0.1902439024390244,,,0.1672473867595819,0.1672473867595819,2.300348432055749,,0.4397212543554007,,1.045993031358885,,,0.572822299651568,,,0.0,,2.0,,,0.0,0.0,8.0,,12.0,,1.0,,,4.0,
25/1014,902081,2337,2277,60,19197,2025-01-27 05:54:00,2025-02-25 23:01:00,42787,3889,0.025673940949935817,0.9743260590500642,29.713194444444444,64.81666666666666,18.30851519041506,9,9,19197.0,60.0,CURVADO-CORT > SOLDADURA-RE > NORMALIZADO > GRANALLADO > CALIBRADO > TALLADO > ENTRADA DE D > TEMPLE-REVEN > RECTIFICADO,,954.0,,391.0,,6140.0,416.0,417.0,2396.0,,1219.0,,5338.0,,,1926.0,,,0.40821566110397944,,0.16730851519041506,,2.6272999572100986,0.17800599058622166,0.17843388960205392,1.0252460419341036,,0.5216089002995293,,2.284124946512623,,,0.8241335044929397,,,0.0,,0.0,,5.0,0.0,0.0,9.0,,3.0,,32.0,,,11.0,
